,rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
116,m/zootopia,Leigh Paatsch,False,Herald Sun (Australia),Fresh,8.0,2016-03-18,"A lively and universally accessible story is set in an idealised, human-free future where animals of all species have learned to live as one."
117,m/zootopia,Matthew Toomey,False,ABC Radio Brisbane,Fresh,9.0,2016-03-19,"Stepping back from the movie's key themes, the creative team behind the project deserve praise for crafting a fun, complex world."
118,m/zootopia,Jean Lowerison,False,ReviewExpress.com,Fresh,10.0,2016-03-20,It's a delight. Don't miss it.
119,m/zootopia,Pablo Villaça,False,Cinema em Cena,Fresh,8.0,2016-03-21,"The film gracefully deals with the contradiction between what we feel, who we are and what we let other people see. [Full review in Portuguese.]"
120,m/zootopia,Paul Whitington,False,Irish Independent,Fresh,6.0,2016-03-21,"Zootropolis takes the form of a jovial noir thriller, is nicely voiced by the likes of Jason Bateman and Ginnifer Goodwin and should go down very well with the smaller viewer."
121,m/zootopia,Aine O'Connor,False,Sunday Independent (Ireland),Fresh,8.0,2016-03-21,Bright and mostly brilliant.
122,m/zootopia,Neil Smith,False,Total Film,Fresh,8.0,2016-03-21,"No instant Disney classic, but a fast and furry-ious caper with endless gags, a fizzy fox-bunny double act and Shakira as a singing gazelle."
123,m/zootopia,David 'Mad Dog' Bradley,False,Rip It Up,Fresh,6.0,2016-03-23,"This has enough light wit and gooey sentiment for Disney groupies, and yet it does leave many unanswered questions."
124,m/zootopia,Richard von Busack,False,MetroActive,Fresh,10.0,2016-03-23,"It acknowledges problems that no bumper-sticker can patch over, and yet it leaves room for an exploration of a seriously charming world."
125,m/zootopia,Martin Roberts,False,Fan The Fire,Fresh,8.0,2016-03-23,"The voice cast are all on enjoyable form, and the storyline, once it kicks into gear, is not simply a vehicle for the message of the film, but an enjoyable caper in its own right, full of motion and invention."
126,m/zootopia,Nigel Andrews,True,Financial Times,Fresh,8.0,2016-03-23,"Just relish the zingy jokes and in-jokes; a slow-burn dialogue scene with sloths that's an instant classic; the elastic character animation; and the pacy, racy disrespect for PC of all hues and flavours."
127,m/zootopia,Stefan Pape,False,HeyUGuys,Fresh,8.0,2016-03-23,"Directors Byron Howard and Rich Moore have crafted this environment in a meticulous fashion, with a striking attention to detail, painting a comprehensive picture of this universe we're inhabiting."
128,m/zootopia,Alex Zane,False,The Sun (UK),Fresh,8.0,2016-03-24,The voice cast is perfect - especially Bateman - and there are some cracking action scenes too. Superb family film.
129,m/zootopia,Tim Evans,False,Sky Cinema,Fresh,8.0,2016-03-24,An animated outing that propels Disney's historical success at anthropomorphisation to new heights.
130,m/zootopia,Wendy Ide,True,Guardian,Fresh,8.0,2016-03-24,The animation is first rate - fur is rendered so realistically that it could trigger an allergy at 50 paces - but it is the writing that elevates the picture.
131,m/zootopia,Kevin Maher,True,Times (UK),Fresh,8.0,2016-03-24,"There's a magical moment in every movie of quality, a reciprocal bond between screen and viewer, where your shoulders happily drop, you sink deeper into your seat and your soul secretly smiles because it knows that you are in the safest of hands."
132,m/zootopia,Amy West,False,International Business Times,Fresh,9.0,2016-03-24,It's easy to see why the studio is back at the top of its game and proves its still the master of producing films both children and adults will engage with.
133,m/zootopia,Rob Carnevale,False,Indie London,Fresh,8.0,2016-03-24,"For the young and innocent minded, there's plenty of knockabout fun and slapstick humour to enjoy, coupled with a timely message about tolerance and integration, while pop culture references abound for adults and film fans to savour."
134,m/zootopia,John Nugent,False,Empire Magazine,Fresh,8.0,2016-03-24,"The fictional universe it presents - a human-free world where mammals have evolved into a bustling, civilised society - is vividly realised, richly detailed and very funny."
135,m/zootopia,Robbie Collin,True,Daily Telegraph (UK),Fresh,8.0,2016-03-24,"One of the film's great strengths is the trust it puts in its young audience to decode its complex, nuanced message about the value of difference."
136,m/zootopia,Jason Best,False,Movie Talk,Fresh,8.0,2016-03-25,Cute and clever in equal measure.
137,m/zootopia,Walter Chaw,False,Film Freak Central,Fresh,7.5,2016-03-26,"The illness in our society comes from the artificial stratification, and defensive denial, of original difference."
138,m/zootopia,Alistair Harkness,False,Scotsman,Fresh,8.0,2016-03-27,"A pretty sophisticated meditation on race relations dressed up as a delightfully entertaining, gag-packed and inventively plotted police procedural."
139,m/zootopia,Charlotte O'Sullivan,True,London Evening Standard,Fresh,8.0,2016-03-27,The film feels like a riposte to Trump-ism. It also contains some of the best sloth-related humour you will ever see.
140,m/zootopia,David Edwards,False,Daily Mirror (UK),Fresh,8.0,2016-03-27,"Here's a great-looking, emotionally engaging and enormously entertaining movie guaranteed to delight kids and adults alike."
141,m/zootopia,Allan Hunter,False,Daily Express (UK),Fresh,8.0,2016-03-27,The latest Disney animated feature may not be a classic but it is full of bright ideas and funny one-liners.
142,m/zootopia,Henry Fitzherbert,False,Daily Express (UK),Fresh,10.0,2016-03-27,The friendship between predator and prey stands as a powerful rebuke to Donald Trump.
143,m/zootopia,Mark Kermode,False,Observer (UK),Fresh,8.0,2016-03-27,An encouragingly upbeat celebration of love and diversity in times of hate and uncertainty.
144,m/zootopia,Marija Djurovic,False,Cairo360,Fresh,7.0,2016-03-28,"Clever, funny and refreshingly bold, its message is endearing and engaging, without falling into sentimentality."
145,m/zootopia,Kevin A. Ranson,False,MovieCrypt.com,Fresh,10.0,2016-03-29,...manages an incredible balancing act having fun with their high concept while taking nothing away from the seriousness of their story. Prejudice 101 - for kids of all ages.
146,m/zootopia,Ali Gray,False,TheShiznit.co.uk,Fresh,10.0,2016-03-31,It is its own cinematic zooniverse.
147,m/zootopia,David Keyes,False,Cinemaphile.org,Fresh,7.5,2016-04-01,How refreshing it is to see an animated movie that takes the initiative to climb above the restrictions of its formula.
148,m/zootopia,Geoffrey Macnab,True,Independent (UK),Fresh,8.0,2016-04-01,The genius of the film lies in its combination of traditional Disney characters and situations with a very subversive storytelling style.
149,m/zootopia,Rich Cline,False,Contactmusic.com,Fresh,7.0,2016-04-01,"The filmmakers behind Tangled and Wreck-it Ralph join forces for this entertaining animated action comedy, which has clearly been planned as a franchise-launcher."
150,m/zootopia,Josh Larsen,False,LarsenOnFilm,Fresh,7.5,2016-04-02,Done with creativity and wit ... but still has the stridency of a lesson plan.
151,m/zootopia,Mahmoud Mahdy,False,FilmGamed,Fresh,9.0,2016-04-04,"Zootopia is the best Disney animated movie, either with Pixar or without it, since Toy Story 3 in 2010."
